country,temperature_celsius,condition_text,wind_kph,humidity,uv_index,condition_category,HRS_of_light
El Salvador,26.0,moderate or heavy rain with thunder,3.6,94,1.0,Thunderstorm,0.53
Equatorial Guinea,30.0,partly cloudy,6.1,89,6.0,Partly Cloudy,0.51
Eritrea,22.6,patchy rain nearby,4.7,42,5.0,Rain,0.54
Estonia,19.0,sunny,22.0,43,4.0,Clear,0.71
Swaziland,22.2,sunny,6.1,39,7.0,Clear,0.45
Ethiopia,22.3,patchy rain nearby,10.8,48,5.0,Rain,0.52
Fiji Islands,26.0,light rain,15.1,89,1.0,Rain,0.47
Finland,22.0,sunny,24.1,33,5.0,Clear,0.72
France,15.0,partly cloudy,16.9,72,4.0,Partly Cloudy,0.64
Gabon,29.0,partly cloudy,15.1,75,7.0,Partly Cloudy,0.51
Gambia,23.0,sunny,16.9,83,6.0,Clear,0.53
