country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,HRS_of_light,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Malta,33.7,1.79,845.58,22.810410958904107,19.9413698630137,64.68767123287671,4.292602739726028,partly cloudy,Partly Cloudy,0.4,1.0,0.0,7.0
Marshall Islands,22.0,2.0,1116.67,28.184931506849317,22.51232876712329,80.95890410958904,0.4054794520547945,overcast,Cloudy,0.51,0.0,0.0,0.0
Mauritania,13.5,0.56,280.67,24.302465753424656,21.33178082191781,51.013698630136986,3.8372602739726025,sunny,Clear,0.55,1.0,0.5,2.0
Mauritius,17.18,0.79,229.1,26.84767123287671,18.696438356164386,68.02191780821917,8.023561643835617,partly cloudy,Partly Cloudy,0.45,1.0,0.5,2.0
Mexico,13.6,0.53,344.19,14.240821917808216,5.998356164383562,68.97808219178083,0.8438356164383561,clear,Clear,0.5,9.0,0.25,12.0
Monaco,77.9,2.08,5411.9,18.585479452054795,10.58027397260274,64.26849315068493,3.2405479452054795,partly cloudy,Partly Cloudy,0.55,0.0,0.0,0.0
Mongolia,8.76,0.07,183.6,2.6810958904109587,8.501917808219178,56.09041095890411,1.029315068493151,partly cloudy,Partly Cloudy,0.5,4.0,0.75,20.0
Montenegro,13.48,1.16,362.26,20.063561643835616,7.53041095890411,55.71506849315068,3.96986301369863,partly cloudy,Partly Cloudy,0.46,1.0,0.0,7.0
Morocco,8.6,0.44,215.18,20.518630136986303,13.737808219178085,70.7095890410959,3.3917808219178083,partly cloudy,Partly Cloudy,0.41,4.0,0.125,4.0
Mozambique,30.58,0.23,729.1,27.445753424657536,15.01917808219178,57.2,8.406301369863014,partly cloudy,Partly Cloudy,0.44,4.0,1.0,312.0
Myanmar,7.5,6.07,366.52,30.44383561643836,10.96,72.0931506849315,1.6057534246575342,partly cloudy,Partly Cloudy,0.55,6.0,0.75,15.0
Namibia,17.88,0.7,406.82,25.457534246575342,17.76986301369863,27.58904109589041,9.137808219178083,sunny,Clear,0.57,1.0,0.5,5.0
Nepal,7.09,0.27,69.53,22.274246575342467,8.103835616438356,60.24383561643835,1.9389041095890407,partly cloudy,Partly Cloudy,0.5,5.0,0.5,53.0
Netherlands,32.59,3.45,1093.86,13.113150684931508,16.705205479452054,74.18904109589042,2.5306849315068494,partly cloudy,Partly Cloudy,0.46,0.0,0.0,0.0
New Zealand,32.72,2.14,836.77,13.544109589041096,23.4986301369863,80.86575342465754,0.4054794520547945,clear,Clear,0.38,3.0,0.5,16.0
Nicaragua,11.92,0.28,176.77,24.37452054794521,9.763561643835615,86.47671232876712,2.054794520547945,partly cloudy,Partly Cloudy,0.51,1.0,0.25,1.0
Niger,15.19,0.32,533.06,31.880273972602737,19.112876712328767,33.175342465753424,6.089315068493151,sunny,Clear,0.53,1.0,1.0,5.0
Nigeria,6.88,0.3,625.84,29.79808219178082,8.181095890410958,58.48219178082192,5.919726027397259,partly cloudy,Partly Cloudy,0.52,12.0,0.0,242.0
North Korea,10.24,0.65,393.905,12.302739726027395,11.035890410958904,63.4986301369863,0.6309589041095891,clear,Clear,0.5,0.0,0.0,0.0
Norway,42.57,3.82,927.18,7.935068493150686,14.411780821917809,75.21643835616439,2.283835616438356,sunny,Clear,0.47,1.0,0.0,7.0
Oman,12.52,1.49,383.43,31.48109589041096,15.954246575342466,49.64657534246575,7.212328767123288,sunny,Clear,0.57,0.0,0.0,0.0
Pakistan,5.09,0.18,70.48,28.87616438356164,10.32027397260274,28.213698630136985,5.126301369863014,sunny,Clear,0.5,18.0,0.25,118.0
Panama,16.45,0.36,606.79,25.596986301369864,7.432054794520547,90.30410958904108,2.108493150684932,partly cloudy,Partly Cloudy,0.52,1.0,0.25,1.0
Papua New Guinea,22.25,0.57,5076.75,26.375890410958903,13.109041095890412,85.59726027397261,0.4068493150684931,partly cloudy,Partly Cloudy,0.5,1.0,1.0,1.0
Paraguay,10.65,0.49,309.38,21.48164383561644,10.388767123287671,63.44383561643836,2.35972602739726,sunny,Clear,0.51,2.0,0.75,21.0
Peru,8.22,0.35,244.52,17.818082191780825,8.19890410958904,83.94520547945206,1.83013698630137,partly cloudy,Partly Cloudy,0.49,13.0,0.25,98.0
