country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,uv_index,condition_text,condition_category,condition_score,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Thailand,11.08,0.6,203.17,29.22082191780822,8.614794520547946,1.916438356164384,partly cloudy,Partly Cloudy,4,5.0,0.5,11.0
Timor-Leste,20.0,0.25,680.0,25.974520547945207,8.683013698630138,0.82986301369863,patchy rain nearby,Rain,1,0.0,0.0,0.0
Togo,9.94,0.79,255.34,27.9,19.1,6.0,light rain shower,Rain,1,0.0,0.0,0.0
Tonga,24.88,0.79,393.905,23.72986301369863,21.70739726027397,0.4054794520547945,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Trinidad And Tobago,34.05,1.37,389.14,25.85780821917808,11.216164383561644,2.3917808219178083,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Tunisia,6.69,0.22,129.2,23.581917808219178,15.792876712328766,4.442191780821919,partly cloudy,Partly Cloudy,4,5.0,0.25,7.0
Turkey,6.69,0.35,168.26,26.930958904109588,17.2427397260274,6.267123287671233,sunny,Clear,5,0.0,0.0,0.0
Turkmenistan,65.53,0.17,537.75,23.030958904109585,13.40027397260274,5.159452054794521,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Tuvalu,5.2,0.79,113.43,28.68712328767123,17.26958904109589,0.4054794520547945,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Uganda,8.16,0.57,147.63,26.587945205479453,11.155068493150685,8.905753424657535,partly cloudy,Partly Cloudy,4,4.0,0.0,28.0
Ukraine,7.54,0.26,217.53,14.21890410958904,14.507397260273972,3.572054794520548,sunny,Clear,5,3.0,0.25,4.0
United Arab Emirates,22.57,1.98,2218.8,32.36657534246575,17.586575342465753,7.102465753424657,sunny,Clear,5,1.0,0.25,1.0
United Kingdom,31.36,3.45,986.89,12.934246575342463,14.293698630136983,2.415890410958904,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Uruguay,23.9,1.24,414.82,14.952602739726029,15.454794520547946,1.8104109589041093,sunny,Clear,5,3.0,0.5,314.0
Uzbekistan,11.24,0.18,205.28,21.792328767123287,10.426027397260274,4.491780821917808,sunny,Clear,5,1.0,0.25,2.0
Vanuatu,26.58,1.23,1071.55,24.28054794520548,15.044383561643835,0.4027397260273972,partly cloudy,Partly Cloudy,4,3.0,1.0,7.0
Vatican City,15.58,1.04,882.89,20.41123287671233,11.786301369863011,4.106027397260274,sunny,Clear,5,0.0,0.0,0.0
Venezuela,16.53,0.63,183.46,23.28876712328767,5.490684931506849,2.0273972602739727,clear,Clear,5,0.0,0.0,0.0
Vietnam,9.7,0.29,303.5,27.410958904109588,8.346027397260274,1.6263013698630138,patchy rain nearby,Rain,1,0.0,0.0,0.0
Yemen,15.34,0.6,162.36,23.26493150684932,12.878356164383565,8.975068493150685,sunny,Clear,5,4.0,0.25,10.0
Zambia,9.18,1.45,262.01,26.335890410958903,12.570410958904109,9.33945205479452,sunny,Clear,5,6.0,0.625,60.0
Zimbabwe,19.0,0.55,222.31,25.33068493150685,10.72931506849315,9.745753424657536,sunny,Clear,5,2.0,0.25,139.0
