country,Holiday_Index_PCA,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Togo,0.8451829185555795,-0.1979594867935599,1.913209336036425,-0.2439686324753874,-0.8142036242816619,-0.036885861447399,-0.2173145217172164,0.2741444534904028
Tonga,0.8503491343020531,1.2087115012675076,0.6728021185040226,-0.4351092313784455,-0.8604182213077823,0.758089375038683,-1.6063691505719797,0.176763747810338
Trinidad And Tobago,0.861864737046137,1.2024706815889543,0.1718298093857393,-0.3419977662798882,0.0398830021383819,-0.6336438105882661,-0.1237701614771183,0.4607196202756105
Tunisia,0.6580670583831006,-1.1073356008259747,0.6161842858767581,-0.5921802904268298,-0.4262127650043741,0.2270285243150329,-0.5671715726745755,0.1690450509651842
Turkey,0.8151048304081929,-0.6151006151494438,1.881361303303073,-0.6133498602893409,-0.6471384273924821,-0.2519399833522706,-0.2101847236897062,0.0314161710221963
Turkmenistan,0.8992492459201331,2.0204290479431366,0.6718248298481786,0.6510888089578296,-0.0849943709114879,-1.026585416522832,-0.2184544081676389,-1.4284732922922694
Tuvalu,0.7925010022306764,-0.0907912294984577,0.829396792421375,-1.139559407756641,-0.4740513057583717,0.3453342306597441,-1.3737956492703434,1.103189182408516
Uganda,0.7433398135927944,-1.3247350321426612,1.2823283530565608,-0.2391427824184918,-0.5859640906523124,-1.2610441280993998,0.8368756197205439,0.062533003377956
Ukraine,0.6845345319294686,-0.4724305497111341,-0.0668744138600837,-1.339660890914756,-0.2915663519960613,0.4976888076949002,-0.3077849642855892,-0.6218858198237597
United Arab Emirates,0.8252424906549115,1.3410171336376484,1.5068038274499456,2.2705184247486265,0.8260280804359467,-0.7757123980572608,-0.0493393883378651,0.5882198760081482
United Kingdom,0.9631218448561204,2.8690962164968723,-0.9092986918758172,-0.1549573592969737,-0.5199178557330701,0.2555452329096339,1.0038261765056076,0.4319201268889144
Uruguay,0.41563991092458596,-0.6076105767001715,-2.274237554478927,1.2939648661713508,-1.149084293431478,0.8224123037900706,0.0105757643522508,-1.6132195617166123
Uzbekistan,0.7006371408777637,-0.6939173539087203,0.4768086547710629,-1.0912176540274776,0.3920976494832524,-0.2874919464885696,-0.0026800740458397,-0.266417675303045
Vanuatu,0.5361365378860815,0.4356298163094109,-0.7063827574364104,0.8976455139880595,1.7067718370223417,1.6269040211518713,-0.833434040733798,0.3836581065797511
Vatican City,0.8242341743549935,0.6757047749088103,0.3278421218897301,-0.661786449629459,0.1683591200833913,-0.7066757424358527,-0.0135454366731146,-0.1092393633972143
Venezuela,0.7726443415920202,-0.0126226553416328,-0.2009709622667552,-1.6263174484438183,0.5584305348932931,-1.074795195228066,-0.0860489643163546,0.355481962098996
Vietnam,0.7500193747096583,-0.3733309870421382,0.3223073490316052,-1.4378449451455404,0.5267572793242429,-0.9286469711397488,-0.7707836281122434,0.6111683666560714
Yemen,0.7194839588779256,-0.991702333416086,1.150445138607515,0.0053875065951842,-0.3249221250013842,-0.4947136181083415,0.9708147543448936,-0.3468450400044826
Zambia,0.5762746566963501,-1.6829207834275206,0.6617425577399974,0.9926133539231732,0.0197286432944919,0.0982544990786979,1.532234742550128,0.2868655901139363
Zimbabwe,0.6328874752158398,-1.4090334194034784,0.7869216595812272,0.820865691816525,-0.4417227521601869,-1.0498745596127186,1.3559129398847487,-1.0383061012242616
